Código;Data do relatório;Espécie;Captura (Kg);Valor R$/Kg
1967320;02/03/2022;Sardinha-verdadeira;5.000,00;1,3
1790234;02/03/2022;Sardinha-verdadeira;46.756,00;3
1786734;02/03/2022;Sardinha-verdadeira;34.000,00;2,5
2143667;04/03/2022;Sardinha-verdadeira;42.000,00;4
1916667;04/03/2022;Sardinha-verdadeira;58.356,00;3,2
2143667;05/03/2022;Sardinha-verdadeira;20.000,00;4
1967320;05/03/2022;Sardinha-verdadeira;30.000,00;1,3
1967320;05/03/2022;Sardinha-verdadeira;65.000,00;1,3
1916667;05/03/2022;Sardinha-verdadeira;135.458,00;3,2
1916667;05/03/2022;Sardinha-verdadeira;64.275,00;3,2
1790234;05/03/2022;Sardinha-verdadeira;27.838,00;3,5
1790234;05/03/2022;Sardinha-verdadeira;130.814,00;3
1786734;05/03/2022;Sardinha-verdadeira;60.000,00;3
1786734;06/03/2022;Sardinha-verdadeira;145.000,00;3,2
1967320;08/03/2022;Sardinha-verdadeira;83.000,00;1,3
1967320;08/03/2022;Sardinha-verdadeira;4.000,00;1,3
1786734;08/03/2022;Sardinha-verdadeira;175.000,00;3,2
1786734;09/03/2022;Sardinha-verdadeira;140.000,00;3,2
1786734;09/03/2022;Sardinha-verdadeira;120.000,00;3
1786734;09/03/2022;Sardinha-verdadeira;43.000,00;3
1786734;10/03/2022;Sardinha-verdadeira;110.000,00;3,2
1786734;26/03/2022;Sardinha-verdadeira;80.000,00;3,2
1786734;26/03/2022;Sardinha-verdadeira;120.000,00;3,2
1967320;27/03/2022;Sardinha-verdadeira;65.000,00;1,3
1967320;27/03/2022;Sardinha-verdadeira;48.000,00;1,3
1916667;27/03/2022;Sardinha-verdadeira;142.988,00;3,2
1790234;27/03/2022;Sardinha-verdadeira;66.354,00;3,5
1790234;27/03/2022;Sardinha-verdadeira;153.528,00;3,2
1786734;27/03/2022;Sardinha-verdadeira;145.000,00;3,2
2143667;28/03/2022;Sardinha-verdadeira;60.000,00;4
1916667;28/03/2022;Sardinha-verdadeira;158.048,00;3,2
1786734;28/03/2022;Sardinha-verdadeira;198.000,00;3,4
1786734;28/03/2022;Sardinha-verdadeira;38.000,00;3,2
1967320;29/03/2022;Sardinha-verdadeira;50.000,00;1,3
1916667;29/03/2022;Sardinha-verdadeira;139.981,00;3,2
1786734;30/03/2022;Sardinha-verdadeira;190.000,00;3,4
1786734;31/03/2022;Sardinha-verdadeira;110.000,00;3,2
2094630;06/04/2022;Sardinha-verdadeira;35.000,00;1,3
2094630;06/04/2022;Sardinha-verdadeira;24.000,00;1,3
2094630;07/04/2022;Sardinha-verdadeira;20.000,00;1,3
2094630;10/04/2022;Sardinha-verdadeira;30.000,00;1,3
1983557;11/04/2022;Sardinha-verdadeira;69.552,00;3,2
1983557;12/04/2022;Sardinha-verdadeira;57.265,00;3,2
1937888;12/04/2022;Sardinha-verdadeira;120.000,00;3,4
1937888;12/04/2022;Sardinha-verdadeira;80.000,00;3,4
1983557;13/04/2022;Sardinha-verdadeira;81.344,00;3,2
1937888;13/04/2022;Sardinha-verdadeira;190.000,00;3,4
1937888;13/04/2022;Sardinha-verdadeira;120.000,00;3,2
1937888;13/04/2022;Sardinha-verdadeira;80.000,00;3,2
2094630;20/04/2022;Sardinha-verdadeira;7.000,00;1,3
2094630;22/04/2022;Sardinha-verdadeira;23.000,00;1,3
1937888;23/04/2022;Sardinha-verdadeira;200.000,00;3,4
2094630;25/04/2022;Sardinha-verdadeira;20.000,00;1,3
